fund_id,fund_name,security_name,isin,number_of_shares,share_change,sector
INF846K01K35,INF846K01K35,Ajax Engineering Ltd,INE274Y01021,507104.0,0.0,Industrials
INF846K01K35,INF846K01K35,EPL Ltd Ordinary Shares,INE255A01020,1586570.0,0.0,Consumer Cyclical
INF846K01K35,INF846K01K35,Prudent Corporate Advisory Services Ltd,INE00F201020,125000.0,0.0,Financial Services
INF846K01K35,INF846K01K35,Anthem Biosciences Ltd,INE0CZ201020,415200.0,0.0,Healthcare
INF846K01K35,INF846K01K35,Sagility Ltd,INE0W2G01015,7433080.0,7433080.0,Healthcare
INF846K01K35,INF846K01K35,Aadhar Housing Finance Ltd,INE883F01010,594634.0,594634.0,Financial Services
INF846K01K35,INF846K01K35,Aarti Industries Ltd,INE769A01020,785001.0,0.0,Basic Materials
INF846K01K35,INF846K01K35,Electronics Mart India Ltd,INE02YR01019,2021000.0,0.0,Consumer Cyclical
INF846K01K35,INF846K01K35,Happy Forgings Ltd,INE330T01021,275287.0,0.0,Industrials
INF846K01K35,INF846K01K35,Aditya Infotech Ltd,INE819V01029,75204.0,75204.0,Industrials
INF846K01K35,INF846K01K35,VA Tech Wabag Ltd,INE956G01038,225.0,0.0,Industrials
INF846K01K35,INF846K01K35,Jupiter Life Line Hospitals Ltd,INE682M01012,0.0,-119610.0,Healthcare
INF846K01K35,INF846K01K35,MAS Financial Services Ltd Ordinary Shares,INE348L01012,0.0,-15661.0,Financial Services
