,trend_score,appearances,current_shares,share_change,funds,funds_entered,funds_exited
J.B. Chemicals & Pharmaceuticals Ltd,0.0,5,4871934.0,0.0,"INF194KB1AL4,INF204K01K15,INF205K013T3,INF663L01W06,INF846K01K35",,
SMS Pharmaceuticals Ltd,0.0,1,1859681.0,0.0,INF966L01689,,
RBL Bank Ltd,0.0,2,46847020.0,0.0,"INF204K01K15,INF966L01689",,
Reliance Industries Ltd,0.0,2,23315220.0,0.0,"INF204K01K15,INF966L01689",,
Sun TV Network Ltd,0.0,1,10312446.0,0.0,INF966L01689,,
Bata India Ltd,1.0,2,3209308.0,10.098379328908722,"INF204K01K15,INF966L01689",INF966L01689,
Adani Enterprises Ltd,0.0,1,2468292.0,0.0,INF966L01689,,
Piramal Finance Ltd,1.0,1,4335570.0,0.0,INF966L01689,INF966L01689,
EPL Ltd Ordinary Shares,0.0,2,9485803.0,0.0,"INF846K01K35,INF966L01689",,
Afcons Infrastructure Ltd,0.0,3,13185570.0,0.0,"INF204K01K15,INF205K013T3,INF966L01689",,
Stanley Lifestyles Ltd,0.0,2,3199446.0,0.0,"INF204K01K15,INF966L01689",,
Vardhman Textiles Ltd,0.0,3,18723771.0,0.0,"INF179KA1RZ8,INF204K01K15,INF966L01689",,
Oil & Natural Gas Corp Ltd,0.0,1,18387225.0,0.0,INF966L01689,,
Himadri Speciality Chemical Ltd,-1.0,1,674478.0,-77.39684986595175,INF966L01689,,
Vishnu Prakash R Punglia Ltd,0.0,1,5087689.0,0.0,INF966L01689,,
Castrol India Ltd,0.0,2,11469512.0,0.0,"INF204K01K15,INF966L01689",,
Om Infra Ltd,0.0,1,140571.0,0.0,INF966L01689,,
Gland Pharma Ltd,0.0,3,3614685.0,0.0,"INF204K01K15,INF846K01K35,INF966L01689",,
K.P.R. Mill Ltd,-1.0,3,7337283.0,-13.42417360585415,"INF204K01K15,INF917K01QA1,INF966L01689",,
Vinati Organics Ltd,1.0,2,984703.0,5.829989799387963,"INF917K01QA1,INF966L01689",INF917K01QA1,
Ventive Hospitality Ltd,0.0,1,8315686.0,0.0,INF966L01689,,
Usha Martin Ltd,2.0,2,21682446.0,14.740867610710588,"INF277K011O1,INF966L01689","INF277K011O1,INF966L01689",
Maharashtra Seamless Ltd,0.0,2,2406339.0,0.0,"INF917K01QA1,INF966L01689",,
Piramal Enterprises Ltd,-1.0,1,705693.0,-100.0,INF204K01K15,,INF966L01689
Poly Medicure Ltd,0.0,1,3298837.0,0.0,INF966L01689,,
Welspun Living Ltd,-1.0,2,20858757.0,-6.707857673624269,"INF917K01QA1,INF966L01689",,
Exicom Tele-Systems Ltd,0.0,1,4343422.0,0.0,INF966L01689,,
BASF India Ltd,0.0,2,933636.0,0.0,"INF277K011O1,INF966L01689",,
Zydus Wellness Ltd,1.0,2,12403451.0,400.0,"INF204K01K15,INF966L01689",INF966L01689,
Oriental Hotels Ltd,0.0,1,3516804.0,0.0,INF966L01689,,
Sula Vineyards Ltd,0.0,2,10199348.0,0.0,"INF179KA1RZ8,INF966L01689",,
Intellect Design Arena Ltd,1.0,1,503950.0,0.0,INF966L01689,INF966L01689,
Thyrocare Technologies Ltd,0.0,2,2915381.0,0.0,"INF204K01K15,INF966L01689",,
Man Infraconstruction Ltd,0.0,1,6030000.0,0.0,INF966L01689,,
State Bank Of India 28/10/2025,1.0,1,2504250.0,0.0,INF966L01689,INF966L01689,
The Orissa Minerals Development Co Ltd,0.0,1,107059.0,0.0,INF966L01689,,
Jio Financial Services Ltd,0.0,1,60489693.0,0.0,INF966L01689,,
Marathon Nextgen Realty Ltd,0.0,1,5484914.0,0.0,INF966L01689,,
JM Financial Ltd,1.0,3,28601032.0,34.09491263844165,"INF247L01BY3,INF846K01K35,INF966L01689",INF247L01BY3,
Suven Life Sciences Ltd,0.0,1,4701490.0,0.0,INF966L01689,,
Capri Global Capital Ltd,0.0,1,28450736.0,0.0,INF966L01689,,
Ncc Ltd 30/09/2025,-1.0,0,0.0,-100.0,,,INF966L01689
Aegis Logistics Ltd,0.0,2,15000389.0,0.0,"INF917K01QA1,INF966L01689",,
Anthem Biosciences Ltd,-1.0,3,3992675.0,-55.262764932562625,"INF663L01W06,INF846K01K35,INF966L01689",,
Embassy Developments Ltd,0.0,1,7962774.0,0.0,INF966L01689,,
Pfizer Ltd,0.0,2,2081130.0,0.0,"INF204K01K15,INF966L01689",,
Indoco Remedies Ltd,0.0,2,6793789.0,0.0,"INF204K01K15,INF966L01689",,
Indian Hume Pipe Co Ltd,0.0,1,769177.0,0.0,INF966L01689,,
NBCC India Ltd,0.0,1,41286749.0,0.0,INF966L01689,,
Sai Silks (Kalamandir) Ltd,0.0,1,2095455.0,0.0,INF966L01689,,
