,security_name,isin,sector,total_weight_pct,num_funds_holding,avg_weight_pct,coverage_pct
286,J.B. Chemicals & Pharmaceuticals Ltd,INE572A01036,Healthcare,5.8303899999999995,5,0.58,50.0
614,Wockhardt Ltd,INE049B01025,Healthcare,5.55018,4,0.56,40.0
213,Gokaldas Exports Ltd,INE887G01027,Consumer Cyclical,4.99239,5,0.5,50.0
571,Triveni Turbine Ltd,INE152M01016,Industrials,4.9215800000000005,3,0.49,30.0
580,Usha Martin Ltd,INE228A01035,Basic Materials,4.75842,2,0.48,20.0
445,Rainbow Childrens Medicare Ltd,INE961O01016,Healthcare,4.751659999999999,4,0.48,40.0
84,Bikaji Foods International Ltd,INE00E101023,Consumer Defensive,4.84376,3,0.48,30.0
206,Global Health Ltd,INE474Q01031,Healthcare,4.7481100000000005,2,0.47,20.0
370,Mrs Bectors Food Specialities Ltd Ordinary Shares,INE495P01012,Consumer Defensive,4.55887,3,0.46,30.0
503,Sonata Software Ltd,INE269A01021,Technology,4.6159,4,0.46,40.0
108,Carborundum Universal Ltd,INE120A01034,Industrials,4.57777,6,0.46,60.0
500,Sobha Ltd,INE671H01015,Real Estate,4.59207,2,0.46,20.0
563,Time Technoplast Ltd,INE508G01029,Consumer Cyclical,4.4442900000000005,2,0.44,20.0
21,Affle 3i Ltd,INE00WC01027,Communication Services,4.42951,4,0.44,40.0
148,Dixon Technologies (India) Ltd,INE935N01020,Technology,4.362909999999999,3,0.44,30.0
143,Delhivery Ltd,INE148O01028,Industrials,4.2502200000000006,5,0.43,50.0
558,The Federal Bank Ltd,INE171A01029,Financial Services,4.332,3,0.43,30.0
250,Home First Finance Co India Ltd ---,INE481N01025,Financial Services,4.15303,3,0.42,30.0
16,Aegis Logistics Ltd,INE208C01025,Energy,3.98264,2,0.4,20.0
66,BSE Ltd,INE118H01025,Financial Services,3.9577899999999997,3,0.4,30.0
597,Vijaya Diagnostic Centre Ltd,INE043W01024,Healthcare,3.98219,3,0.4,30.0
308,KEC International Ltd,INE389H01022,Industrials,4.03121,5,0.4,50.0
518,Sumitomo Chemical India Ltd Ordinary Shares,INE258G01013,Basic Materials,3.9785200000000005,3,0.4,30.0
192,GE Vernova T&D India Ltd,INE200A01026,Industrials,3.93117,4,0.39,40.0
37,Anand Rathi Wealth Ltd,INE463V01026,Financial Services,3.9455600000000004,2,0.39,20.0
440,RBL Bank Ltd,INE976G01028,Financial Services,3.8014,2,0.38,20.0
323,Kirloskar Ferrous Industries Ltd,INE884B01025,Industrials,3.74061,4,0.37,40.0
116,Chalet Hotels Ltd,INE427F01016,Consumer Cyclical,3.67972,3,0.37,30.0
407,PNB Housing Finance Ltd,INE572E01012,Financial Services,3.68343,4,0.37,40.0
306,Jyoti CNC Automation Ltd,INE980O01024,Industrials,3.55276,4,0.36,40.0
62,Awfis Space Solutions Ltd,INE108V01019,Industrials,3.6385799999999997,3,0.36,30.0
310,KFin Technologies Ltd,INE138Y01010,Technology,3.60807,4,0.36,40.0
489,Shaily Engineering Plastics Ltd,INE151G01028,Basic Materials,3.6415100000000002,2,0.36,20.0
255,IDFC First Bank Ltd,INE092T01019,Financial Services,3.5139,1,0.35,10.0
383,Navin Fluorine International Ltd,INE048G01026,Basic Materials,3.4846799999999996,3,0.35,30.0
231,HDFC Bank Ltd,INE040A01034,Financial Services,3.46633,2,0.35,20.0
170,Eris Lifesciences Ltd Registered Shs,INE406M01024,Healthcare,3.53202,2,0.35,20.0
72,Bank of Baroda,INE028A01039,Financial Services,3.5104699999999998,2,0.35,20.0
64,BASF India Ltd,INE373A01013,Basic Materials,3.3544099999999997,2,0.34,20.0
212,Godrej Industries Ltd,INE233A01035,Industrials,3.4031200000000004,2,0.34,20.0
