,trend_score,appearances,current_shares,share_change
Landmark Cars Ltd,0.0,1,1510190.0,0.0
Aarti Industries Ltd,0.0,1,4813495.0,0.0
Affle 3i Ltd,0.0,1,2587622.0,0.0
Bluestone Jewellery And Lifestyle Ltd,0.0,1,5186909.0,0.0
Schloss Bangalore Ltd,0.0,1,3688067.0,0.0
Automotive Axles Ltd,0.0,1,759930.0,0.0
Hitachi Energy India Ltd Ordinary Shares,0.0,1,144150.0,0.0
Sanathan Textiles Ltd,0.0,1,1243351.0,0.0
eClerx Services Ltd,0.0,1,1762330.0,0.0
Apeejay Surrendra Park Hotels Ltd,0.0,1,3958740.0,0.0
Greenlam Industries Ltd,0.0,1,4422876.0,0.0
Bayer CropScience Ltd,0.0,1,559898.0,0.0
DOMS Industries Ltd,0.0,1,650911.0,0.0
NIIT Learning Systems Ltd,0.0,1,12204308.0,0.0
Lumax Auto Technologies Ltd,0.0,1,2480000.0,0.0
Vesuvius India Ltd,0.0,1,2880000.0,0.0
PG Electroplast Ltd,0.0,1,3451480.0,0.0
Honeywell Automation India Ltd,0.0,1,26553.0,0.0
KFin Technologies Ltd,0.0,1,3937532.0,0.0
Polyplex Corp Ltd,0.0,1,657517.0,0.0
Samvardhana Motherson International Ltd,0.0,1,26606052.0,0.0
Kirloskar Oil Engines Ltd,0.0,1,3715379.0,0.0
Allied Blenders and Distillers Ltd,0.0,1,4937158.0,0.0
P N Gadgil Jewellers Ltd,0.0,1,768920.0,0.0
Wonderla Holidays Ltd,0.0,1,625354.0,0.0
Kirloskar Brothers Ltd,0.0,1,4472130.0,0.0
Dr. Lal PathLabs Ltd,0.0,1,645485.0,0.0
Data Patterns (India) Ltd,0.0,1,508571.0,0.0
Central Depository Services (India) Ltd,0.0,1,2539226.0,0.0
Genus Power Infrastructures Ltd,0.0,1,9300000.0,0.0
