,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes,funds,funds_entered,funds_exited,funds_entered_count,funds_exited_count,current_shares_count,share_change_count
Arvind Fashions Ltd,0,2,1576611.5,-0.43167770281785567,False,False,True,"Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
INOX Green Energy Services Ltd,0,1,0.0,-100.0,False,True,True,SBI Small Cap Fund,,SBI Small Cap Fund,0,1,1,1
Star Health and Allied Insurance Co Ltd,0,1,1030731.0,10.371173077396701,False,False,True,SBI Small Cap Fund,,,0,0,1,1
DOMS Industries Ltd,0,3,562362.0,0.0,False,False,,"Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund",,,0,0,3,3
IndusInd Bank Ltd,1,2,1005078.0,0.6023341653575937,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",HDFC Small Cap Fund,,1,0,2,2
Sagility Ltd,1,4,11335867.25,-8.138557745436367,False,False,True,"Canara Robeco Small Cap Fund,Kotak Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",Kotak Small Cap Fund,,1,0,4,4
Quess Corp Ltd,0,2,3195296.5,5.942924822001001,False,False,True,"Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Minda Corp Ltd,0,3,4357623.0,-33.333333333333336,False,True,True,"Axis Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,SBI Small Cap Fund,0,1,3,3
Neuland Laboratories Ltd,0,3,79433.33333333333,-1.2718885026477373,False,False,True,"Canara Robeco Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
TVS Holdings Ltd,0,1,130649.0,8.191657626472999,False,False,True,SBI Small Cap Fund,,,0,0,1,1
State Bank of India,0,2,6234236.0,5.480554696834837,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Hi-Tech Pipes Ltd,0,2,5788205.0,19.67872001237709,False,False,True,"Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
EFC (I) Ltd,0,1,1629863.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Amber Enterprises India Ltd Ordinary Shares,2,5,135090.8,-25.0,True,False,True,"Franklin Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund","Franklin Small Cap Fund,SBI Small Cap Fund",HDFC Small Cap Fund,2,1,5,4
Edelweiss Financial Services Ltd,0,1,2188104.0,-17.283895546773582,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Vintage Coffee & Beverages Ltd,0,1,6026993.0,260.46759765142554,False,False,True,SBI Small Cap Fund,,,0,0,1,1
CESC Ltd,0,2,6953419.5,-2.8623271330087525,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Signatureglobal (India) Ltd,0,1,728063.0,5.010651601057516,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Sapphire Foods India Ltd,0,2,5278972.0,0.0,False,False,,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Amanta Healthcare Ltd,1,1,1094150.0,0.0,True,False,True,SBI Small Cap Fund,SBI Small Cap Fund,,1,0,1,0
Keystone Realtors Ltd,0,3,3150343.6666666665,1.7662062116287467,False,False,True,"Axis Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Multi Commodity Exchange of India Ltd,0,7,510710.71428571426,0.9172815111578413,False,False,,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund,Kotak Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,7,6
OneSource Specialty Pharma Ltd,0,3,446480.0,-29.48733650508332,False,False,True,"Axis Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Nuvama Wealth Management Ltd,0,1,112837.0,24.90673810288143,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Deepak Fertilisers & Petrochemicals Corp Ltd,0,3,756662.0,5.893464674804588,False,False,,"Kotak Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Thirumalai Chemicals Ltd,2,2,1823104.5,0.0,True,False,True,"Kotak Small Cap Fund,SBI Small Cap Fund","Kotak Small Cap Fund,SBI Small Cap Fund",,2,0,2,1
Wockhardt Ltd,0,4,1141559.5,0.0,False,False,,"Franklin Small Cap Fund,Motilal Oswal Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,4,3
Sai Life Sciences Ltd,0,6,2921277.0,1.2672071216910137,False,False,True,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,6,6
E2E Networks Ltd Ordinary Shares,0,1,123303.0,516.515,False,False,True,SBI Small Cap Fund,,,0,0,1,1
NCC Ltd,0,3,6463652.666666667,0.8223709007894486,False,False,True,"Axis Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,Motilal Oswal Small Cap Fund,0,1,3,3
Sunteck Realty Ltd,0,1,1568727.0,12.764195558085822,False,False,True,SBI Small Cap Fund,,,0,0,1,1
UPL Ltd,0,1,475710.0,26.78905537876001,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Sobha Ltd,0,2,2760838.5,5.445762121107975,False,False,True,"Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Bank of India,0,1,2820078.0,18.986716892861754,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Chemplast Sanmar Ltd,0,2,3033481.5,0.0,False,False,,"Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
NTPC Green Energy Ltd,0,2,13189677.0,30.098890293554213,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Stove Kraft Ltd Ordinary Shares,0,1,1108248.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Can Fin Homes Ltd,0,3,2336815.3333333335,1.9345521656827855,False,False,True,"HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Ethos Ltd,0,3,251500.33333333334,0.0,False,False,,"Axis Small Cap Fund,Franklin Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
Eris Lifesciences Ltd Registered Shs,1,3,2370808.6666666665,70.23724322191372,False,False,,"Mirae Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",Motilal Oswal Small Cap Fund,,1,0,3,2
Kirloskar Pneumatic Co Ltd,0,5,1924679.8,1.729814506224449,False,False,True,"Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,5,5
Vishnu Chemicals Ltd,0,1,961765.0,2.1236720413266577,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Orient Electric Ltd Ordinary Shares,0,3,6098827.0,42.787297509831156,False,False,True,"HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Ventive Hospitality Ltd,1,2,4169599.5,0.0,True,False,True,"Axis Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,2,1
Crompton Greaves Consumer Electricals Ltd,0,3,8625895.666666666,11.491248701056898,False,False,True,"HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Medplus Health Services Ltd,0,1,394694.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Aditya Birla Real Estate Ltd,0,6,847717.3333333334,0.0,False,False,,"Franklin Small Cap Fund,HDFC Small Cap Fund,Kotak Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,6,5
AWL Agri Business Ltd,0,2,12162060.5,3.4867949264809286,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Paradeep Phosphates Ltd,1,2,22159165.5,0.0,True,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,2,1
Arvind SmartSpaces Ltd,0,1,1469527.0,51.609225759992405,False,False,True,SBI Small Cap Fund,,,0,0,1,1
JK Lakshmi Cement Ltd,0,5,1777190.8,3.378500451671184,False,False,True,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,5,5
Gujarat State Petronet Ltd,0,1,277028.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Sansera Engineering Ltd,0,4,619529.0,1.284367991041944,False,False,,"Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,4,3
Safari Industries (India) Ltd,0,4,191229.5,-25.0,False,True,True,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,SBI Small Cap Fund,0,1,4,4
GMM Pfaudler Ltd,0,2,1100230.0,1.1107038530316662,False,False,True,"Mirae Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Jyoti CNC Automation Ltd,0,4,1030535.25,0.0,False,False,,"Franklin Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,4,3
Ellenbarrie Industrial Gases Ltd,0,2,1350190.5,0.0,False,False,,"Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
National Aluminium Co Ltd,0,1,2290000.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Rane Holdings Ltd,0,1,146008.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
EPACK Durable Ltd,0,1,1498605.0,2755.8456407813246,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Vardhman Textiles Ltd,0,3,6241257.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund,Mirae Small Cap Fund",,,0,0,3,3
Maharashtra Seamless Ltd,0,2,1037748.5,-14.958827752970135,False,False,0,"Axis Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,2,2
HP Adhesives Ltd,0,1,0.0,0.0,False,False,0,Axis Small Cap Fund,,Axis Small Cap Fund,0,1,1,1
Welspun Enterprises Ltd,0,1,6712318.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Newgen Software Technologies Ltd,0,1,503579.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Piramal Enterprises Ltd,0,2,0.0,-50.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,"Axis Small Cap Fund,HDFC Small Cap Fund",0,2,2,2
JM Financial Ltd,0,3,9630404.0,1.358275270318685,False,False,0,"Axis Small Cap Fund,Kotak Small Cap Fund,Nippon Small Cap Fund",,,0,0,3,3
NBCC India Ltd,0,1,42954543.0,4.039538206314089,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Primo Chemicals Ltd Shs Dematerialised,0,1,4556962.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
EPL Ltd Ordinary Shares,0,2,4742901.5,0.0,False,False,0,"Axis Small Cap Fund,Nippon Small Cap Fund",,,0,0,2,2
Vishnu Prakash R Punglia Ltd,0,1,5087689.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Oil & Natural Gas Corp Ltd,0,1,18387225.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Jana Small Finance Bank Ltd,0,1,0.0,-100.0,False,False,0,Axis Small Cap Fund,,Axis Small Cap Fund,0,1,1,1
E I D Parry India Ltd,0,2,2573936.0,0.0,False,False,0,"Axis Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,2,2
Sanofi India Ltd,0,2,138951.5,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Anupam Rasayan India Ltd,0,1,437155.0,-59.50813810887615,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Welspun Living Ltd,0,2,10429378.5,0.0,False,False,0,"Axis Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,2,2
Marathon Nextgen Realty Ltd,0,1,5484914.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Oriental Hotels Ltd,0,1,3270338.0,-7.008238161694538,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Piramal Finance Ltd,2,2,2624968.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund","Axis Small Cap Fund,HDFC Small Cap Fund",,2,0,2,2
Siemens Energy India Ltd,0,1,372393.0,2.338663801276784,False,False,0,Kotak Small Cap Fund,,,0,0,1,1
K.P.R. Mill Ltd,0,3,2445761.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,3,3
RBL Bank Ltd,0,2,23421131.5,-0.0062733791181430396,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Ncc Ltd 25/11/2025,1,1,1652400.0,0.0,False,False,0,Axis Small Cap Fund,Axis Small Cap Fund,,1,0,1,1
Adani Power Ltd,0,1,60430545.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Laxmi Dental Ltd,0,2,0.0,0.0,False,False,0,"Axis Small Cap Fund,Franklin Small Cap Fund",,"Axis Small Cap Fund,Franklin Small Cap Fund",0,2,2,2
SMS Pharmaceuticals Ltd,0,1,1859681.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Jio Financial Services Ltd,0,1,60489693.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Man Infraconstruction Ltd,0,1,6030000.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Aditya Birla Lifestyle Brands Ltd,0,2,27293619.0,94.26135608261427,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Afcons Infrastructure Ltd,0,3,4563529.0,3.5629797558305145,False,False,0,"Axis Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund",,,0,0,3,3
Mahindra Holidays & Resorts India Ltd,0,1,999412.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Welspun Corp Ltd,0,2,2969026.0,0.0,False,False,0,"Axis Small Cap Fund,Nippon Small Cap Fund",,,0,0,2,2
Indraprastha Medical Corp Ltd,0,1,721778.0,-69.87672787355686,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Indian Hume Pipe Co Ltd,0,1,769177.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Taj GVK Hotels & Resorts Ltd,0,1,0.0,0.0,False,False,0,Axis Small Cap Fund,,Axis Small Cap Fund,0,1,1,1
Embassy Developments Ltd,0,1,7962774.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Stanley Lifestyles Ltd,0,2,1599723.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Best Agrolife Ltd,0,1,500000.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
State Bank Of India 28/10/2025,1,1,0.0,-100.0,False,False,0,Axis Small Cap Fund,Axis Small Cap Fund,Axis Small Cap Fund,1,1,1,1
Thyrocare Technologies Ltd,0,2,861300.5,-54.069460501785386,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,Axis Small Cap Fund,0,1,2,2
Gujarat State Fertilizers & Chemicals Ltd,0,1,7662294.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Castrol India Ltd,0,2,6025018.0,3.468383392692714,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Intellect Design Arena Ltd,1,1,503950.0,0.0,False,False,0,Axis Small Cap Fund,Axis Small Cap Fund,,1,0,1,1
Sun TV Network Ltd,0,1,10312446.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Suven Life Sciences Ltd,0,1,4701490.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Alivus Life Sciences Ltd,0,2,1027490.5,0.0,False,False,0,"Axis Small Cap Fund,Navi Small Cap Fund",,,0,0,2,2
India Shelter Finance Corporation Ltd,0,2,1703732.0,-0.9369994764124787,False,False,0,"Axis Small Cap Fund,Nippon Small Cap Fund",,,0,0,2,2
Bata India Ltd,0,2,1196615.5,-15.406981573780396,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Capacit'e Infraprojects Ltd,0,1,2026624.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Capri Global Capital Ltd,0,1,28450736.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Reliance Industries Ltd,0,2,12259988.5,16.02338529504005,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
The Orissa Minerals Development Co Ltd,0,1,107059.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Vinati Organics Ltd,0,2,492351.5,0.0,False,False,0,"Axis Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,2,2
Bayer CropScience Ltd,0,2,773146.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Anthem Biosciences Ltd,0,3,1330891.6666666667,0.0,False,False,0,"Axis Small Cap Fund,Canara Robeco Small Cap Fund,Nippon Small Cap Fund",,,0,0,3,3
Sula Vineyards Ltd,0,2,5099674.0,0.0,False,False,0,"Axis Small Cap Fund,Mirae Small Cap Fund",,,0,0,2,2
Anand Rathi Wealth Ltd,0,2,1487047.5,0.0,False,False,0,"Axis Small Cap Fund,Franklin Small Cap Fund",,,0,0,2,2
Pfizer Ltd,0,2,1040565.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Sai Silks (Kalamandir) Ltd,0,1,2095455.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Om Infra Ltd,0,1,140571.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Balrampur Chini Mills Ltd,0,5,3667007.8,-8.751846255393449,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Navi Small Cap Fund,Nippon Small Cap Fund",,,0,0,5,5
Ncc Ltd 30/09/2025,0,1,0.0,0.0,False,False,0,Axis Small Cap Fund,,Axis Small Cap Fund,0,1,1,1
Life Insurance Corporation of India,0,1,735993.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Himadri Speciality Chemical Ltd,0,1,674478.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Usha Martin Ltd,0,2,10841223.0,0.0,False,False,0,"Axis Small Cap Fund,Navi Small Cap Fund",,,0,0,2,2
Ncc Ltd 28/10/2025,1,1,0.0,-100.0,False,False,0,Axis Small Cap Fund,Axis Small Cap Fund,Axis Small Cap Fund,1,1,1,1
Aegis Logistics Ltd,0,2,7500194.5,0.0,False,False,0,"Axis Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,2,2
Just Dial Ltd,0,2,2697436.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Adani Enterprises Ltd,0,1,2468292.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
HFCL Ltd,0,1,75584924.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Delhivery Ltd,0,5,3882961.6,0.0,False,False,0,"Axis Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund",,,0,0,5,5
TVS Srichakra Ltd,0,1,377551.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Zydus Wellness Ltd,0,2,12940937.5,200.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
BASF India Ltd,0,2,466818.0,0.0,False,False,0,"Axis Small Cap Fund,Navi Small Cap Fund",,,0,0,2,2
Indoco Remedies Ltd,0,2,3396894.5,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund",,,0,0,2,2
Gland Pharma Ltd,0,3,1204895.0,0.0,False,False,0,"Axis Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund",,,0,0,3,3
Bikaji Foods International Ltd,0,3,4134964.0,5.345154881965137,False,False,0,"Axis Small Cap Fund,Canara Robeco Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,3,3
Sequent Scientific Ltd,0,1,22502050.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Prime Securities Ltd,0,1,1649942.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
Exicom Tele-Systems Ltd,0,1,4343422.0,0.0,False,False,0,Axis Small Cap Fund,,,0,0,1,1
PVR INOX Ltd,0,2,3033315.0,0.0,False,False,0,"HDFC Small Cap Fund,Mirae Small Cap Fund",,,0,0,2,2
FSN E-Commerce Ventures Ltd,0,1,6994008.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Raymond Lifestyle Ltd,0,1,990674.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Craftsman Automation Ltd,0,3,353834.6666666667,0.0,False,False,0,"Franklin Small Cap Fund,HDFC Small Cap Fund,Nippon Small Cap Fund",,,0,0,3,3
ITC Ltd,0,1,17779908.0,77.79908,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Bharat Dynamics Ltd Ordinary Shares,0,3,1104891.0,0.842101029270141,False,False,0,"HDFC Small Cap Fund,Kotak Small Cap Fund,Nippon Small Cap Fund",,,0,0,3,3
Protean eGov Technologies Ltd,0,1,902883.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Esab India Ltd,0,1,411697.0,25.946671887714835,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Tata Power Co Ltd,0,1,7707138.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Ion Exchange (India) Ltd,0,2,5483548.0,0.0,False,False,0,"HDFC Small Cap Fund,Mirae Small Cap Fund",,,0,0,2,2
Linde India Ltd,0,1,400000.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Sudarshan Chemical Industries Ltd,0,4,3377492.25,0.0982802686928447,False,False,0,"HDFC Small Cap Fund,Mirae Small Cap Fund,Navi Small Cap Fund,Nippon Small Cap Fund",,,0,0,4,4
City Union Bank Ltd,0,3,16651836.333333334,0.3366044894219851,False,False,0,"HDFC Small Cap Fund,Mirae Small Cap Fund,Nippon Small Cap Fund",,,0,0,3,3
ISGEC Heavy Engineering Ltd,0,1,4185591.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Deepak Nitrite Ltd,0,1,1175325.0,7.826992412913643,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Asian Paints Ltd,0,1,2303100.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
ICRA Ltd,0,1,626192.0,11.405214513819084,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Tata Consumer Products Ltd,0,2,2380776.0,0.0,False,False,0,"HDFC Small Cap Fund,Nippon Small Cap Fund",,,0,0,2,2
HDFC Life Insurance Co Ltd,0,1,5739968.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
MAS Financial Services Ltd Ordinary Shares,0,1,13939573.0,0.00691604162223074,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Canara Robeco Asset Management Co Ltd,1,1,4958862.0,0.0,False,False,0,HDFC Small Cap Fund,HDFC Small Cap Fund,,1,0,1,1
Procter & Gamble Health Ltd,0,1,692659.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
JNK India Ltd,0,0,0.0,0.0,False,False,0,,,,0,0,0,0
Century Plyboards (India) Ltd,0,2,2131845.0,0.0,False,False,0,"HDFC Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,2,2
JTEKT India Ltd,0,1,21133584.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Blue Dart Express Ltd,0,2,410511.5,0.0,False,False,0,"HDFC Small Cap Fund,Mirae Small Cap Fund",,,0,0,2,2
Fine Organic Industries Ltd Ordinary Shares,0,2,709286.5,0.0,False,False,0,"HDFC Small Cap Fund,Nippon Small Cap Fund",,,0,0,2,2
West Coast Paper Mills Ltd,0,1,3359187.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
InterGlobe Aviation Ltd,0,1,406892.0,0.0,False,False,0,Franklin Small Cap Fund,,,0,0,1,1
Bajaj Electricals Ltd,0,2,4863875.5,-0.14017817702270902,False,False,0,"HDFC Small Cap Fund,Mirae Small Cap Fund",,,0,0,2,2
Vishal Mega Mart Ltd,0,4,12919203.5,0.0,False,False,0,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund,Mirae Small Cap Fund",,,0,0,4,4
Go Fashion (India) Ltd,0,1,2153531.0,76.03354357329462,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Campus Activewear Ltd,0,2,4995400.0,3.370632731599195,False,False,0,"HDFC Small Cap Fund,Kotak Small Cap Fund",,,0,0,2,2
AstraZeneca Pharma India Ltd,0,1,658075.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Sheela Foam Ltd,0,1,343844.0,-54.82251910402892,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Indigo Paints Ltd Ordinary Shares,0,2,2399953.5,3.1659485737873063,False,False,0,"HDFC Small Cap Fund,Mirae Small Cap Fund",,,0,0,2,2
Astra Microwave Products Ltd,0,1,2200000.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Equitas Small Finance Bank Ltd Ordinary Shares,0,2,39878300.0,0.889668242328902,False,False,0,"HDFC Small Cap Fund,Mirae Small Cap Fund",,,0,0,2,2
Sumitomo Chemical India Ltd Ordinary Shares,0,3,2584842.0,0.0,False,False,0,"Canara Robeco Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund",,,0,0,3,3
Netweb Technologies India Ltd,0,1,0.0,-100.0,False,False,0,HDFC Small Cap Fund,,HDFC Small Cap Fund,0,1,1,1
Avalon Technologies Ltd,0,2,2903743.5,0.0,False,False,0,"HDFC Small Cap Fund,Nippon Small Cap Fund",,,0,0,2,2
Divgi TorqTransfer Systems Ltd,0,1,1152910.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Rolex Rings Ltd,0,4,385453.0,-25.0,False,False,0,"Franklin Small Cap Fund,HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund",,HDFC Small Cap Fund,0,1,4,4
Kaynes Technology India Ltd,0,6,331008.8333333333,-13.077400445876966,False,False,0,"Canara Robeco Small Cap Fund,Franklin Small Cap Fund,HDFC Small Cap Fund,Kotak Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund",,,0,0,6,6
Polyplex Corp Ltd,0,1,657517.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
VST Tillers Tractors Ltd,0,1,531755.0,-2.1953646464627887,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
Sonata Software Ltd,1,5,5579988.2,-19.800013509465405,False,False,0,"Franklin Small Cap Fund,HDFC Small Cap Fund,Kotak Small Cap Fund,Mirae Small Cap Fund,Motilal Oswal Small Cap Fund",Kotak Small Cap Fund,Motilal Oswal Small Cap Fund,1,1,5,5
Praj Industries Ltd,0,1,5051724.0,0.0,False,False,0,HDFC Small Cap Fund,,,0,0,1,1
