date,fund_id,stock,action,shares_change
2026-01-31,INF194KB1AL4,Motilal Oswal Financial Services Ltd,decrease,200000.0
2026-01-31,INF194KB1AL4,Garware Hi-Tech Films Ltd,decrease,9897.0
2026-01-31,INF194KB1AL4,Jain Resource Recycling Ltd,decrease,93403.0
2026-01-31,INF194KB1AL4,Axis Bank Ltd,decrease,75000.0
2026-01-31,INF194KB1AL4,Bank of Baroda,decrease,376899.0
2026-01-31,INF194KB1AL4,Shaily Engineering Plastics Ltd,decrease,202644.0
2026-01-31,INF194KB1AL4,Star Health and Allied Insurance Co Ltd,decrease,13551.0
2026-01-31,INF194KB1AL4,Narayana Hrudayalaya Ltd,decrease,34071.0
2026-01-31,INF194KB1AL4,State Bank of India,decrease,30000.0
2026-01-31,INF194KB1AL4,Multi Commodity Exchange of India Ltd,decrease,11002.0
2026-01-31,INF194KB1AL4,Kirloskar Oil Engines Ltd,decrease,221723.0
2026-01-31,INF966L01689,Reliance Industries Ltd,decrease,987973.0
2026-01-31,INF966L01689,Oil & Natural Gas Corp Ltd,decrease,17887518.0
2026-01-31,INF966L01689,Oriental Hotels Ltd,decrease,586276.0
2026-01-31,INF966L01689,Bata India Ltd,decrease,717961.0
2026-01-31,INF966L01689,Life Insurance Corporation of India,exit,735993.0
2026-01-31,INF966L01689,Adani Enterprises Limited Rights,exit,296195.0
2026-01-31,INF966L01689,Future on Samvardhana Motherson International Ltd,exit,6266850.0
2026-01-31,INF966L01689,Sequent Scientific Ltd,exit,22502050.0
2026-01-31,INF966L01689,Ncc Ltd 25/11/2025,exit,1652400.0
2026-01-31,INF966L01689,Indraprastha Medical Corp Ltd,exit,721778.0
2026-01-31,INF966L01689,OneSource Specialty Pharma Ltd,exit,16480.0
2026-01-31,INF966L01689,Anupam Rasayan India Ltd,exit,437155.0
2026-01-31,INF966L01689,Oriental Hotels Ltd,decrease,642694.0
2026-01-31,INF966L01689,Bata India Ltd,decrease,238704.0
2026-01-31,INF966L01689,Delhivery Ltd,exit,3328886.0
2026-01-31,INF966L01689,India Shelter Finance Corporation Ltd,decrease,200761.0
2026-01-31,INF204K01K15,Tata Consumer Products Ltd,decrease,50000.0
2026-01-31,INF204K01K15,Apeejay Surrendra Park Hotels Ltd,decrease,399238.0
2026-01-31,INF204K01K15,Radico Khaitan Ltd,decrease,91949.0
2026-01-31,INF204K01K15,TD Power Systems Ltd,decrease,100000.0
2026-01-31,INF204K01K15,Asian Paints Ltd,decrease,992396.0
2026-01-31,INF204K01K15,Gujarat Fluorochemicals Ltd Ordinary Shares,exit,396772.0
2026-01-31,INF204K01K15,SIS Ltd Ordinary Shares,decrease,5600.0
2026-01-31,INF204K01K15,Raymond Realty Ltd,decrease,24359.0
2026-01-31,INF204K01K15,FSN E-Commerce Ventures Ltd,exit,6994008.0
2026-01-31,INF204K01K15,Vindhya Telelinks Ltd,decrease,150.0
2026-01-31,INF204K01K15,Tata Motors Ltd,decrease,8822743.0
2026-01-31,INF204K01K15,Vishal Mega Mart Ltd,exit,430791.0
2026-01-31,INF204K01K15,R K Swamy Ltd,decrease,8176.0
2026-01-31,INF204K01K15,Raymond Lifestyle Ltd,decrease,54411.0
2026-01-31,INF204K01K15,Aditya Infotech Ltd,decrease,35684.0
2026-01-31,INF204K01K15,Apeejay Surrendra Park Hotels Ltd,decrease,455663.0
2026-01-31,INF204K01K15,JK Tyre & Industries Ltd,exit,600000.0
2026-01-31,INF204K01K15,HDB Financial Services Ltd,decrease,61685.0
2026-01-31,INF204K01K15,HCL Technologies Ltd,exit,1000000.0
2026-01-31,INF204K01K15,Honeywell Automation India Ltd,exit,26553.0
