,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes
Mankind Pharma Ltd,2.0,1,33093.0,120.61999999999999,True,False,True
Arvind Ltd,2.0,1,8388701.0,6.872208184137096,False,False,True
Angel One Ltd Ordinary Shares,1.0,1,605190.0,37.67960979516066,False,False,True
Repco Home Finance Ltd,2.0,1,4120781.0,4.120547731991949,False,False,True
Greenpanel Industries Ltd Ordinary Shares,2.0,1,1232444.0,47.850580752278745,False,False,True
PNB Housing Finance Ltd,2.0,1,2992271.0,1.4235980355702917,False,False,True
Jain Resource Recycling Ltd,-1.0,1,562301.0,0.0,False,False,True
Axis Bank Ltd,-2.0,1,1502288.0,-1.489311475409836,False,False,True
Bansal Wire Industries Ltd,0.0,1,534003.0,0.0,False,False,
Bank of Baroda,-2.0,1,2250000.0,-19.35483870967742,False,False,True
Manappuram Finance Ltd,-1.0,1,3836895.0,-9.8663462453267,False,False,True
Gujarat State Petronet Ltd,0.0,1,277028.0,0.0,False,False,
Aster DM Healthcare Ltd Ordinary Shares,0.0,1,689119.0,0.0,False,False,
Vishnu Chemicals Ltd,-1.0,1,956968.0,-0.4987704896726331,False,False,True
Shaily Engineering Plastics Ltd,0.0,1,732376.0,18.27223854179956,False,False,True
Deepak Fertilisers & Petrochemicals Corp Ltd,2.0,1,678944.0,6.260329543747183,False,False,True
Star Health and Allied Insurance Co Ltd,0.0,1,1092180.0,7.373326254940128,False,False,True
Birlasoft Ltd,1.0,1,1775611.0,0.0,False,False,True
Paradeep Phosphates Ltd,2.0,1,6639782.0,5.573980374679094,False,False,True
Pine Labs Ltd,0.0,1,283114.0,-49.94572270134756,True,False,True
Bombay Burmah Trading Corp Ltd,0.0,1,196754.0,0.0,False,False,
Narayana Hrudayalaya Ltd,-1.0,1,155929.0,0.0,False,False,True
INOX Green Energy Services Ltd,1.0,1,2392880.0,0.0,True,False,True
Senco Gold Ltd,2.0,1,4500973.0,32.036400139869656,False,False,True
Heritage Foods Ltd,1.0,1,467302.0,0.0,False,False,True
State Bank of India,-1.0,1,2090624.0,0.0,False,False,True
Epigral Ltd,2.0,1,690108.0,50.33460553144769,False,False,True
Rane Holdings Ltd,1.0,1,152185.0,4.2305901046517995,False,False,True
Multi Commodity Exchange of India Ltd,-2.0,1,0.0,-100.0,False,True,True
Kirloskar Oil Engines Ltd,-2.0,1,1112950.0,-8.621043556796256,False,False,True
Wockhardt Ltd,2.0,1,601354.0,3.440244670200945,False,False,True
Edelweiss Financial Services Ltd,1.0,1,2331046.0,6.532687660184343,False,False,True
Hi-Tech Pipes Ltd,2.0,1,10690947.0,25.391044072396653,False,False,True
Indus Towers Ltd Ordinary Shares,-1.0,1,690000.0,-23.333333333333332,False,False,True
