,trend_score,appearances,current_shares,share_change,newly_entered,exited,has_changes,funds,funds_entered,funds_exited,funds_entered_count,funds_exited_count,current_shares_count,share_change_count
OneSource Specialty Pharma Ltd,0,3,446986.6666666667,2.336776183577137,False,False,True,"Axis Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,Axis Small Cap Fund,0,1,3,3
Time Technoplast Ltd,1,4,8809233.75,6.540731033578282,True,False,True,"Motilal Oswal Small Cap Fund,Navi Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,4,4
Wakefit Innovations Ltd,2,2,630136.5,0.0,True,False,True,"Mirae Small Cap Fund,SBI Small Cap Fund","Mirae Small Cap Fund,SBI Small Cap Fund",,2,0,2,1
Bluspring Enterprises Ltd,0,2,4624440.0,0.0,False,False,,"Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
Greenply Industries Ltd,0,3,2744299.3333333335,-37.80669815490549,False,False,,"Canara Robeco Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,3,2
JK Paper Ltd,0,1,292911.0,30.009320905459386,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Power Mech Projects Ltd,0,2,1273072.5,0.0,False,False,,"Mirae Small Cap Fund,SBI Small Cap Fund",,,0,0,2,1
AWL Agri Business Ltd,0,2,12265496.0,5.6035622793330555,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Yatharth Hospital and Trauma Care Services Ltd,0,1,3812993.0,18.09374114411458,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Quess Corp Ltd,0,2,5323366.0,4.824879837516428,False,False,True,"Navi Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Pace Digitek Ltd,0,1,5049021.0,12.953489932885907,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Birla Corp Ltd,0,3,1148643.3333333333,19.135447182863288,False,False,True,"Franklin Small Cap Fund,HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
General Insurance Corp of India,0,1,3530859.0,31.45739992121921,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Apar Industries Ltd,0,7,324673.14285714284,0.0,False,False,,"Franklin Small Cap Fund,HDFC Small Cap Fund,Kotak Small Cap Fund,Mirae Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,7,6
Syrma SGS Technology Ltd,0,3,1414946.6666666667,11.545284698634982,False,False,True,"Kotak Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
DCB Bank Ltd,1,3,9152649.0,12.304912112366372,False,False,True,"Kotak Small Cap Fund,Navi Small Cap Fund,SBI Small Cap Fund",Kotak Small Cap Fund,,1,0,3,2
Prestige Estates Projects Ltd,0,1,822793.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Godavari Biorefineries Ltd,0,1,351261.0,0.0,False,False,,SBI Small Cap Fund,,,0,0,1,0
Sobha Ltd,0,2,2892043.5,-6.996120291184695,False,False,True,"Motilal Oswal Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
Ecos (India) Mobility & Hospitality Ltd,0,1,1797916.0,16.094196956097814,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Aditya Birla Sun Life AMC Ltd,0,2,1547572.5,-0.36527799061933963,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
R R Kabel Ltd,0,3,534421.3333333334,-6.262069572898279,False,False,True,"Navi Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Suryoday Small Finance Bank Ltd,0,1,1230637.0,1.5790251315097643,False,False,True,SBI Small Cap Fund,,,0,0,1,1
Styrenix Performance Materials Ltd,1,3,665397.0,2.464069994572872,True,False,True,"HDFC Small Cap Fund,Kotak Small Cap Fund,SBI Small Cap Fund",SBI Small Cap Fund,,1,0,3,3
Jyothy Labs Ltd,0,3,4679815.333333333,2.4150104065214735,False,False,True,"HDFC Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,3,3
Vedanta Ltd,0,2,4272070.5,-7.318559864187657,False,False,True,"HDFC Small Cap Fund,SBI Small Cap Fund",,,0,0,2,2
KFin Technologies Ltd,0,4,2228439.0,0.0,False,False,,"HDFC Small Cap Fund,Motilal Oswal Small Cap Fund,Nippon Small Cap Fund,SBI Small Cap Fund",,,0,0,4,3
